Irradiance,Temperature,V_pv,I_pv,Optimal_Duty
100,14,3.01349574326241,0.291205692074617,0.1
100,14,4.1598684470106,0.291143684404428,0.1
100,14,5.30344426655313,0.291081824951402,0.101
100,14,6.44460066458487,0.291020086083633,0.1
100,14,7.58337799407287,0.29095843951472,0.1
100,14,8.71868903504435,0.290896866477533,0.1
100,16,3.01820357334445,0.291801086412794,0.1005
100,16,4.16692202710156,0.291738951355973,0.1
100,16,5.31295205560304,0.291676957487062,0.1
100,16,6.45632824368896,0.291615093019657,0.1
100,16,7.59636631758395,0.29155336197825,0.1005
100,16,8.73506692382142,0.291491544232764,0.1
100,18,3.02291234315739,0.292396480619496,0.1
100,18,4.17397560399755,0.292334218038162,0.1
100,18,5.32234537782691,0.292272095327772,0.1
100,18,6.46805576705243,0.292210097112555,0.1
100,18,7.61149139357452,0.292148155908664,0.1
100,18,8.75144401867488,0.292086192639597,0.1
100,20,3.02762064191159,0.292991874741387,0.1
100,20,4.18102917657749,0.292929484355792,0.1
100,20,5.33173868136372,0.292867231985804,0.1
100,20,6.4797832148612,0.292805097401358,0.1
100,20,7.62554769410538,0.292742997346828,0.1
100,20,8.76707856358758,0.292680842791061,0.1005
100,22,3.03232893949019,0.293587268714087,0.1
100,22,4.18808274333704,0.293524750182065,0.1
100,22,5.34113195988339,0.293462367058723,0.1
100,22,6.4915105627957,0.293400092620542,0.1005
100,22,7.63960361389718,0.293337822644865,0.1
100,22,8.78419464622139,0.293275360688727,0.1
100,24,3.03703723547591,0.294182662485458,0.1
100,24,4.19513630228846,0.294120015348781,0.1
100,24,5.35052520507067,0.294057500015649,0.1
100,24,6.50323777876257,0.293995081110086,0.1005
100,24,7.65365903640114,0.293932626638274,0.1
100,24,8.80056744231454,0.293869852024945,0.1
100,26,3.04174552932129,0.294778055986248,0.1
100,26,4.20218985078848,0.2947152796337,0.1
100,26,5.35991840580928,0.294652630158977,0.1
100,26,6.51496481878413,0.294590060700845,0.1005
100,26,7.66771379288224,0.294527402616971,0.1
100,26,8.8169378174493,0.294464255593743,0.1
100,28,3.04645382030597,0.295373449124839,0.1
100,28,4.20924338537803,0.295310542744311,0.1005
100,28,5.36931154776998,0.295247756575467,0.1
100,28,6.52638357654686,0.295185045270906,0.1005
100,28,7.68176768649004,0.29512214189206,0.1
100,28,8.83330507361959,0.295058544806339,0.1
100,30,3.05116210746987,0.295968841780482,0.1
100,30,4.21629690151394,0.295905804297075,0.1
100,30,5.37870461212712,0.29584287807404,0.1
100,30,6.53841813437863,0.295779981050006,0.1005
100,30,7.69582044965185,0.295716833254668,0.1
100,30,8.84891900389822,0.295652727983989,0.1
100,32,3.05587038956723,0.296564233794644,0.1
100,32,4.22335039326238,0.296501063790954,0.1
100,32,5.38809757449309,0.296437993106884,0.1
100,32,6.55014424455085,0.296374913409741,0.1005
100,32,7.70987174607528,0.296311462294277,0.1
100,32,8.86602621136475,0.296246634215957,0.1
100,34,3.06057866494868,0.297159624959956,0.1
100,34,4.23038190055245,0.297096321760082,0.1005
100,34,5.39749040317506,0.297033099669793,0.1
100,34,6.56186983744048,0.296969819548687,0.1005
100,34,7.7239211311479,0.296906010549069,0.1
100,34,8.8823773580252,0.296840335224717,0.1
